,시점,const,경제심리지수(원계열),뉴스심리지수,원자재구입가격실적,달러결제수출비율,달러결제수입비율,달러결제순수입액,KO/US M2,BIRDIFF,TNDIFF,EIRDIFF,KRW/USD
19,200608,1.0,105.4,92.33,0.24,0.847,0.821,-914.8000000000029,157.61568707107932,0.75,-0.2140000000000004,1.2000000000000002,946.2
20,200609,1.0,107.0,101.61,0.17,0.818,0.812,-1816.5,160.78689827593684,0.75,-0.26199999999999957,1.0,942.3
21,200610,1.0,109.4,98.4,0.08,0.8240000000000001,0.8109999999999999,-2309.9000000000015,159.63484380610413,0.75,-0.19200000000000017,0.8000000000000003,929.5
22,200611,1.0,109.6,99.21,0.08,0.823,0.809,-3535.2999999999993,160.65122635197656,0.75,-0.45199999999999996,1.0,929.8
23,200612,1.0,107.4,98.22,0.08,0.828,0.7979999999999999,-1866.0,161.86562161096322,0.75,-0.24800000000000022,1.0000000000000004,941.0
24,200701,1.0,106.3,91.76,0.08,0.833,0.812,-1019.2000000000007,161.07924544250656,0.75,-0.2320000000000002,1.1999999999999997,941.8
25,200702,1.0,112.7,96.38,0.02,0.8220000000000001,0.8029999999999999,-1161.5,161.83917746177758,0.75,-0.44399999999999995,1.4,940.9
26,200703,1.0,113.3,97.47,0.13,0.821,0.799,-1540.0,161.5032326988179,0.75,-0.29600000000000026,1.2000000000000002,930.8
27,200704,1.0,114.7,106.32,0.21,0.818,0.799,-830.2999999999993,159.15356677859248,0.75,-0.4480000000000004,1.2000000000000002,927.7
28,200705,1.0,114.1,107.11,0.23,0.8220000000000001,0.821,-999.0,162.44645767159233,0.75,-0.33199999999999985,1.1000000000000005,923.8
29,200706,1.0,112.9,107.64,0.25,0.8220000000000001,0.813,-3117.399999999998,165.35571234437413,0.75,-0.4560000000000004,1.2999999999999998,919.3
30,200707,1.0,114.5,111.95,0.19,0.821,0.809,-1164.1000000000022,164.98191522935275,0.5,-0.7809999999999997,1.4000000000000004,938.3
31,200708,1.0,116.8,97.83,0.13,0.83,0.8059999999999999,-1838.5999999999985,164.50868358013938,0.25,-0.891,1.2999999999999998,915.1
32,200709,1.0,116.0,103.74,0.16,0.82,0.8170000000000001,-1814.300000000003,166.547491720506,-0.25,-0.9329999999999998,1.5,900.7
33,200710,1.0,114.7,108.12,0.26,0.809,0.804,-1552.7000000000007,168.62524056053994,-0.5,-1.0889999999999995,1.4000000000000004,921.1
34,200711,1.0,113.8,97.23,0.24,0.82,0.8029999999999999,-2126.0,169.5115372203098,-0.5,-1.6720000000000002,1.4000000000000004,936.1
35,200712,1.0,111.1,102.99,0.27,0.8320000000000001,0.805,-193.0,169.71987686895338,-0.75,-1.7970000000000006,1.7999999999999998,943.9
36,200801,1.0,111.3,98.54,0.32,0.8290000000000001,0.8240000000000001,3166.199999999997,172.71094020739477,-2.0,-1.9669999999999996,2.0,939.0
37,200802,1.0,113.7,97.88,0.34,0.826,0.813,768.5,173.38662131519274,-2.0,-1.7700000000000005,2.0000000000000004,990.4
38,200803,1.0,106.6,88.12,0.56,0.8190000000000001,0.81,584.2999999999993,170.54942221991917,-2.75,-1.9500000000000002,2.0999999999999996,1002.6
39,200804,1.0,108.0,103.73,0.56,0.8320000000000001,0.8059999999999999,-646.2000000000007,173.90986920026776,-3.0,-1.4419999999999997,1.9,1030.1
40,200805,1.0,103.6,93.06,0.56,0.8440000000000001,0.83,-1114.0,176.78141417286065,-3.0,-1.4400000000000004,2.2,1046.0
41,200806,1.0,98.7,76.31,0.6,0.843,0.81,-782.8999999999978,177.00527697660283,-3.0,-1.9209999999999998,2.4999999999999996,1012.2
42,200807,1.0,93.6,79.55,0.59,0.855,0.833,772.7999999999956,177.6621820529374,-3.0,-2.084,2.6999999999999997,1089.0
43,200808,1.0,101.8,75.88,0.3,0.865,0.8240000000000001,1630.0,180.04448060754,-3.25,-2.0980000000000003,2.8,1207.0
44,200809,1.0,97.8,70.51,0.28,0.865,0.83,427.1000000000022,178.16058907825374,-3.25,-2.1670000000000003,2.8999999999999995,1291.0
45,200810,1.0,82.5,60.04,0.24,0.851,0.825,-1775.0999999999985,178.15609497481725,-3.25,-1.5660000000000003,3.2,1469.0
46,200811,1.0,71.2,65.53,0.09,0.8420000000000001,0.8270000000000001,-415.90000000000146,178.20970982839313,-3.0,-2.8100000000000005,3.4,1259.5
47,200812,1.0,61.2,72.73,0.0,0.843,0.802,-1545.4000000000015,173.22328858652736,-2.875,-2.658,3.9,1379.5
48,200901,1.0,67.7,76.45,0.0,0.846,0.823,2607.2999999999993,174.6396380068629,-2.375,-1.58,4.5,1534.0
49,200902,1.0,70.5,80.19,0.09,0.861,0.792,-3959.7999999999993,177.0533521167461,-1.875,-2.2270000000000003,5.000000000000001,1383.5
50,200903,1.0,73.5,89.93,0.15,0.856,0.7979999999999999,-4793.5999999999985,173.82982075795806,-1.875,-2.307,5.1,1282.0
51,200904,1.0,90.4,99.01,0.09,0.861,0.792,-6409.600000000002,175.55736539714505,-1.875,-1.7810000000000001,5.3,1255.0
52,200905,1.0,95.6,99.85,0.07,0.857,0.813,-4823.100000000002,177.7933583275989,-1.875,-1.5909999999999997,5.5,1273.9
53,200906,1.0,98.9,101.13,0.1,0.8640000000000001,0.79,-7539.0999999999985,178.84712070415696,-1.875,-1.7269999999999999,5.6,1228.5
54,200907,1.0,99.7,108.91,0.13,0.857,0.8079999999999999,-4977.600000000002,179.23980684142919,-1.875,-1.6999999999999997,5.7,1248.9
55,200908,1.0,108.2,105.46,0.15,0.858,0.8009999999999999,-2874.5,182.01579882432898,-1.875,-2.0420000000000003,5.8,1178.1
56,200909,1.0,109.5,109.23,0.17,0.851,0.804,-4937.100000000002,183.5866061537362,-1.875,-2.0749999999999997,6.200000000000001,1182.5
57,200910,1.0,112.0,106.15,0.11,0.845,0.809,-4110.9000000000015,184.50363144403303,-1.875,-2.067,6.4,1162.8
58,200911,1.0,108.5,105.4,0.17,0.845,0.792,-5303.4000000000015,184.01533901096315,-1.875,-2.1919999999999997,6.2,1164.5
59,200912,1.0,110.0,114.77,0.12,0.851,0.794,-4518.5,183.39244121399392,-1.875,-1.4729999999999994,6.300000000000001,1161.8
60,201001,1.0,113.0,113.22,0.16,0.851,0.8240000000000001,-158.60000000000218,187.78506450545814,-1.875,-1.7659999999999996,5.1000000000000005,1160.0
61,201002,1.0,116.2,104.91,0.19,0.861,0.799,-3633.7999999999993,187.69409054581354,-1.875,-1.6879999999999997,5.800000000000001,1131.3
62,201003,1.0,115.1,108.95,0.2,0.8540000000000001,0.7929999999999999,-3635.0,187.6351701140312,-1.875,-1.0939999999999999,6.2,1108.4
63,201004,1.0,116.5,112.77,0.29,0.862,0.8059999999999999,-5229.100000000002,188.34102164663213,-1.875,-1.2570000000000001,6.300000000000001,1202.5
64,201005,1.0,115.7,107.91,0.3,0.8640000000000001,0.8240000000000001,-4864.5,190.20367652198223,-1.875,-1.665,6.3999999999999995,1222.2
65,201006,1.0,114.7,109.93,0.25,0.866,0.81,-7860.199999999997,191.2197550659974,-1.875,-1.9989999999999997,5.9,1182.7
66,201007,1.0,114.5,109.59,0.21,0.862,0.82,-5823.799999999999,191.7101400272826,-2.125,-2.0050000000000003,5.6000000000000005,1198.1
67,201008,1.0,113.2,105.05,0.2,0.8590000000000001,0.7979999999999999,-3193.5,191.44263856779395,-2.125,-2.2119999999999997,6.0,1140.2
68,201009,1.0,113.6,109.98,0.21,0.8690000000000001,0.8140000000000001,-5766.4000000000015,191.0986762240592,-2.125,-1.7700000000000005,5.7,1125.3
69,201010,1.0,111.6,108.51,0.21,0.855,0.8220000000000001,-6652.9000000000015,192.19948567229977,-2.125,-1.5110000000000001,5.7,1159.7
70,201011,1.0,112.9,110.97,0.24,0.848,0.821,-3267.7000000000007,191.31102501281978,-2.375,-1.6830000000000003,6.500000000000001,1134.8
71,201012,1.0,111.3,112.2,0.25,0.856,0.8240000000000001,-4747.0,187.46951770231212,-2.375,-1.166,5.6000000000000005,1121.5
72,201101,1.0,111.2,115.44,0.36,0.863,0.8320000000000001,-3451.0999999999985,188.6123163841808,-2.625,-1.3200000000000003,5.6,1128.7
73,201102,1.0,112.6,102.18,0.33,0.8590000000000001,0.816,-3339.699999999997,188.32882492601635,-2.625,-1.3329999999999997,5.3,1096.7
74,201103,1.0,109.2,97.23,0.41,0.862,0.8170000000000001,-4201.4000000000015,186.18632091193922,-2.875,-1.0399999999999996,5.2,1071.5
75,201104,1.0,112.7,107.81,0.4,0.868,0.8240000000000001,-5720.5,186.54339856000706,-2.875,-1.1940000000000004,5.6,1079.2
76,201105,1.0,110.9,103.83,0.29,0.857,0.8290000000000001,-3053.5,186.6286562666194,-2.875,-1.279,5.7,1067.7
77,201106,1.0,107.9,100.81,0.21,0.8440000000000001,0.821,-2601.300000000003,185.77466287758259,-3.125,-1.08,5.8,1054.5
78,201107,1.0,107.2,106.13,0.22,0.8590000000000001,0.8220000000000001,-5606.5,184.87722573543695,-3.125,-1.4340000000000006,5.7,1066.8
79,201108,1.0,105.7,85.55,0.19,0.8590000000000001,0.818,-2206.2000000000044,180.95884504005582,-3.125,-1.737,5.8,1178.1
80,201109,1.0,105.6,88.83,0.18,0.847,0.825,-2050.0999999999985,181.88870877761758,-3.125,-1.835,5.7,1110.0
81,201110,1.0,103.6,97.82,0.16,0.856,0.8370000000000001,-4135.299999999996,182.4136920032251,-3.125,-1.7469999999999999,5.6000000000000005,1143.0
82,201111,1.0,103.6,96.28,0.11,0.852,0.8270000000000001,-3629.300000000003,181.76223645555427,-3.125,-1.7319999999999998,5.3,1151.8
83,201112,1.0,99.6,97.06,0.06,0.862,0.8290000000000001,-3475.0,180.0208033548493,-3.125,-1.9340000000000002,5.3,1123.3
84,201201,1.0,100.7,102.46,0.11,0.858,0.828,700.4000000000015,179.27739476946087,-3.125,-2.003,5.1000000000000005,1118.7
85,201202,1.0,104.4,97.58,0.14,0.8540000000000001,0.833,-1976.8999999999942,179.58526616940838,-3.125,-1.839,4.9,1133.0
86,201203,1.0,105.5,105.26,0.13,0.857,0.836,-2927.4000000000015,180.02095303490825,-3.125,-1.741,4.8999999999999995,1130.0
87,201204,1.0,109.0,103.14,0.08,0.855,0.8290000000000001,-2976.2000000000044,177.489561660083,-3.125,-1.986,4.8999999999999995,1180.3
88,201205,1.0,105.1,94.17,0.05,0.853,0.845,-2394.4000000000015,180.21382387760679,-3.125,-2.192,5.1,1145.4
89,201206,1.0,100.3,94.31,0.03,0.851,0.843,-4752.0999999999985,181.09111717934303,-3.125,-1.9849999999999999,4.999999999999999,1130.6
90,201207,1.0,96.0,91.13,0.04,0.843,0.831,-2807.0,180.73046902327627,-2.875,-1.8319999999999999,5.1,1134.7
91,201208,1.0,94.5,89.59,0.09,0.851,0.85,-1673.7999999999956,179.7158406991757,-2.875,-1.5419999999999998,4.8999999999999995,1111.4
92,201209,1.0,93.4,95.23,0.12,0.8420000000000001,0.853,-1916.9000000000015,179.43599732420415,-2.875,-1.416,4.6,1090.7
93,201210,1.0,91.5,92.47,0.07,0.8440000000000001,0.84,-3307.2999999999956,177.98070428858654,-2.625,-1.2800000000000002,4.699999999999999,1082.9
94,201211,1.0,90.6,97.22,-0.01,0.846,0.841,-3939.899999999994,177.10474717200037,-2.625,-1.374,4.5,1070.6
95,201212,1.0,91.2,98.35,0.03,0.853,0.836,-2308.600000000006,174.3017642478683,-2.625,-1.373,4.800000000000001,1089.0
96,201301,1.0,94.4,99.16,0.07,0.8540000000000001,0.852,-400.0,175.5659014333847,-2.625,-1.0649999999999997,4.8,1083.0
97,201302,1.0,96.2,93.21,0.06,0.847,0.852,-1385.0999999999985,176.8905534351145,-2.625,-1.1640000000000001,4.5,1111.1
98,201303,1.0,98.3,96.32,0.09,0.848,0.846,-2930.300000000003,175.78470673479566,-2.625,-1.0610000000000002,4.4,1101.2
99,201304,1.0,97.9,92.53,0.02,0.851,0.838,-2693.0,174.63736181234634,-2.625,-1.168,4.6,1129.7
100,201305,1.0,97.2,97.91,0.08,0.851,0.845,-5274.5999999999985,177.18548592927297,-2.375,-0.7719999999999998,4.5,1142.0
101,201306,1.0,96.3,89.86,0.02,0.857,0.841,-5771.800000000003,177.84950156436446,-2.375,-0.8239999999999998,4.4,1123.5
102,201307,1.0,95.6,95.38,0.07,0.857,0.8320000000000001,-3197.0,175.71420948672102,-2.375,-0.8940000000000001,4.1,1110.0
103,201308,1.0,95.3,92.28,0.05,0.863,0.835,-5200.800000000003,176.7164928292047,-2.375,-0.8260000000000001,4.0,1074.7
104,201309,1.0,96.1,103.88,0.04,0.8590000000000001,0.843,-3764.4000000000015,175.84581571178708,-2.375,-0.9199999999999999,4.2,1060.7
105,201310,1.0,97.6,94.86,0.04,0.84,0.8390000000000001,-4132.199999999997,174.80221348211836,-2.375,-0.8860000000000001,4.1,1058.2
106,201311,1.0,97.8,100.96,0.02,0.845,0.841,-4218.299999999996,175.6951226177896,-2.375,-0.839,3.8000000000000003,1055.4
107,201312,1.0,97.7,96.59,0.03,0.8540000000000001,0.841,-3672.2999999999956,172.97758525976425,-2.375,-0.625,3.5,1070.4
108,201401,1.0,100.2,93.56,0.03,0.847,0.87,332.0,175.31771996829283,-2.375,-1.0029999999999997,3.3999999999999995,1067.5
109,201402,1.0,102.4,97.52,0.04,0.8440000000000001,0.8390000000000001,-913.0,175.69153800634786,-2.375,-0.8739999999999997,3.1,1064.7
110,201403,1.0,100.8,104.12,-0.02,0.856,0.843,-3594.4000000000015,173.87664917009505,-2.375,-0.8250000000000002,3.3000000000000003,1033.2
111,201404,1.0,102.1,104.79,0.01,0.855,0.835,-4651.199999999997,173.14710190970382,-2.375,-0.8940000000000001,2.6,1020.1
112,201405,1.0,100.6,102.91,0.01,0.856,0.84,-4963.0999999999985,176.8417178131763,-2.375,-0.9260000000000002,2.8,1011.8
113,201406,1.0,97.2,101.99,0.04,0.863,0.843,-5507.199999999997,176.42562275068804,-2.375,-0.7560000000000002,2.5999999999999996,1027.9
114,201407,1.0,95.3,104.41,-0.03,0.846,0.838,-2362.0999999999985,177.01786372654016,-2.375,-0.4980000000000002,2.7,1014.0
115,201408,1.0,97.5,108.61,-0.01,0.868,0.848,-3698.5,178.4009822546333,-2.125,-0.7429999999999999,2.4999999999999996,1055.2
116,201409,1.0,100.2,102.21,-0.03,0.87,0.848,-3803.2000000000044,177.5448973898488,-2.125,-0.5230000000000001,2.4000000000000004,1068.5
117,201410,1.0,95.5,96.51,0.0,0.855,0.847,-6817.4000000000015,179.23630249770335,-1.875,-0.43400000000000016,2.1,1107.9
118,201411,1.0,97.1,105.14,-0.03,0.87,0.838,-5899.5,180.2138613861386,-1.875,-0.528,2.3,1099.3
119,201412,1.0,96.2,100.09,-0.05,0.865,0.8290000000000001,-6393.0999999999985,176.63554421768708,-1.875,-0.5100000000000002,1.9999999999999996,1093.5
120,201501,1.0,97.8,104.49,-0.1,0.865,0.843,-5906.4000000000015,178.26331320690537,-1.875,-0.774,2.2,1098.4
121,201502,1.0,102.4,106.28,-0.06,0.87,0.8220000000000001,-8112.899999999998,178.97346185986444,-1.875,-0.353,1.9,1109.5
122,201503,1.0,100.7,112.7,-0.01,0.862,0.815,-9006.700000000004,177.97171460352772,-1.625,-0.35299999999999976,1.9000000000000004,1072.4
123,201504,1.0,103.0,115.28,-0.01,0.86,0.816,-8844.0,178.79892042283439,-1.625,-0.14500000000000002,1.8000000000000003,1108.2
124,201505,1.0,101.5,109.25,0.04,0.857,0.8290000000000001,-6432.600000000002,182.69866223263548,-1.625,-0.3690000000000002,1.8999999999999995,1115.5
125,201506,1.0,91.3,100.91,0.01,0.868,0.809,-10825.8,183.2063615464995,-1.375,-0.11499999999999977,1.5,1170.0
126,201507,1.0,95.1,102.89,-0.03,0.86,0.8220000000000001,-7540.399999999998,182.88129427532073,-1.375,-0.27,1.5,1182.5
127,201508,1.0,96.5,95.62,-0.06,0.862,0.818,-5280.5999999999985,183.79444757423119,-1.375,-0.08999999999999986,1.3999999999999995,1185.3
128,201509,1.0,96.1,100.75,0.03,0.8590000000000001,0.809,-9372.5,182.95382346641182,-1.375,-0.17900000000000027,1.5,1140.1
129,201510,1.0,96.8,109.66,-0.03,0.845,0.8220000000000001,-6427.5999999999985,184.028155938052,-1.375,0.053999999999999826,1.5,1158.1
130,201511,1.0,96.5,106.13,-0.06,0.8690000000000001,0.8109999999999999,-10867.199999999997,182.08571382105887,-1.375,-0.04800000000000004,1.4999999999999996,1172.5
131,201512,1.0,93.4,101.4,-0.08,0.851,0.7929999999999999,-7946.799999999999,180.84177576786593,-1.125,0.08800000000000008,1.5,1199.1
132,201601,1.0,93.4,96.32,-0.05,0.845,0.7979999999999999,-5642.5,182.04073438902424,-1.125,-0.10399999999999987,1.4,1236.7
133,201602,1.0,92.1,94.67,-0.03,0.846,0.7909999999999999,-7301.0,182.60670602615622,-1.125,-0.09099999999999997,1.0000000000000004,1143.5
134,201603,1.0,93.8,103.73,0.01,0.8440000000000001,0.7859999999999999,-10049.999999999996,181.04096241170535,-1.125,-0.08500000000000019,1.2000000000000002,1139.3
135,201604,1.0,96.6,100.8,0.01,0.85,0.774,-9867.800000000003,179.62437199693235,-1.125,0.02299999999999991,1.4999999999999996,1191.7
136,201605,1.0,94.8,96.88,0.03,0.84,0.785,-7428.5,182.35179094142458,-1.125,0.05900000000000016,1.1999999999999997,1151.8
137,201606,1.0,94.4,91.55,0.06,0.851,0.773,-12265.599999999999,182.77902103370084,-0.875,-0.14700000000000002,1.4000000000000004,1120.2
138,201607,1.0,95.7,104.94,0.07,0.8370000000000001,0.784,-8069.300000000003,183.8901954070396,-0.875,0.052000000000000046,1.1999999999999997,1114.8
139,201608,1.0,97.7,98.43,0.02,0.852,0.772,-7099.699999999997,183.8972093274734,-0.875,0.16300000000000003,0.9000000000000004,1101.3
140,201609,1.0,97.2,90.38,0.03,0.843,0.782,-7861.700000000001,182.86480693289897,-0.875,0.08200000000000007,1.0,1144.5
141,201610,1.0,95.9,91.4,0.03,0.841,0.8009999999999999,-7249.399999999998,182.97307215927336,-0.875,0.22999999999999998,1.1000000000000005,1169.1
142,201611,1.0,95.4,91.49,0.09,0.843,0.7859999999999999,-8929.400000000001,182.26674146060432,-0.875,0.4159999999999997,1.1,1207.7
143,201612,1.0,93.9,94.33,0.13,0.841,0.7979999999999999,-7367.299999999996,181.0133234084467,-0.625,0.28500000000000014,1.3000000000000003,1162.1
144,201701,1.0,95.8,98.53,0.19,0.8370000000000001,0.8059999999999999,-3340.0000000000036,180.81766504035656,-0.625,0.34199999999999964,1.3000000000000003,1130.7
145,201702,1.0,97.7,98.12,0.13,0.833,0.789,-7397.799999999999,182.41027086339585,-0.625,0.2270000000000003,0.6999999999999997,1118.4
146,201703,1.0,100.0,100.7,0.13,0.833,0.772,-7651.4000000000015,180.72644663015038,-0.375,0.16599999999999993,0.7000000000000002,1137.9
147,201704,1.0,99.6,114.09,0.07,0.8490000000000001,0.7859999999999999,-13340.8,180.34526354589016,-0.375,0.09799999999999986,0.5000000000000004,1119.5
148,201705,1.0,100.6,115.67,0.07,0.835,0.7879999999999999,-6565.800000000003,181.82582881231397,-0.375,-0.05400000000000027,0.9000000000000004,1144.1
149,201706,1.0,99.8,111.37,0.06,0.848,0.778,-11925.100000000002,182.2078449353281,-0.125,0.1389999999999998,0.5999999999999996,1119.0
150,201707,1.0,99.1,111.31,0.07,0.85,0.782,-11301.899999999998,181.79904890904274,-0.125,0.04200000000000026,0.7999999999999998,1127.8
151,201708,1.0,100.1,96.0,0.12,0.85,0.789,-8072.0999999999985,181.89785186432982,-0.125,-0.16999999999999993,0.40000000000000036,1145.4
152,201709,1.0,98.9,101.27,0.17,0.851,0.778,-14453.600000000002,183.1530188610412,-0.125,0.04800000000000004,0.5999999999999996,1120.4
153,201710,1.0,102.0,109.8,0.16,0.8540000000000001,0.7929999999999999,-8244.199999999997,182.02671863977832,-0.125,-0.07600000000000007,0.5,1088.2
154,201711,1.0,102.0,116.95,0.14,0.847,0.782,-9230.800000000003,182.5601415350328,-0.375,-0.1299999999999999,0.5,1070.5
155,201712,1.0,101.7,109.22,0.13,0.852,0.789,-7420.300000000003,181.45239153818574,-0.125,-0.06700000000000017,0.49999999999999956,1067.9
156,201801,1.0,99.4,112.79,0.19,0.841,0.7979999999999999,-4856.199999999997,184.2909378133318,-0.125,0.07900000000000018,0.7000000000000002,1082.8
157,201802,1.0,101.0,105.06,0.2,0.8390000000000001,0.7909999999999999,-4377.800000000003,185.5220411434678,-0.125,0.09100000000000019,0.39999999999999947,1063.5
158,201803,1.0,97.8,103.38,0.18,0.831,0.774,-7875.600000000006,184.17849048535385,0.125,0.030999999999999694,-0.09999999999999964,1068.0
159,201804,1.0,99.6,105.14,0.12,0.8370000000000001,0.7829999999999999,-7490.699999999997,183.67227691104873,0.125,0.29800000000000004,0.20000000000000018,1077.7
160,201805,1.0,101.8,105.63,0.18,0.831,0.79,-6981.300000000003,186.6781207976882,0.125,0.10199999999999987,0.0,1114.5
161,201806,1.0,100.2,101.77,0.14,0.8440000000000001,0.802,-7056.0,187.02644461338429,0.375,0.20399999999999974,0.3999999999999999,1118.7
162,201807,1.0,95.4,91.39,0.2,0.8490000000000001,0.804,-7876.100000000006,186.737391563191,0.375,0.41100000000000003,0.0,1112.9
163,201808,1.0,96.5,96.4,0.18,0.855,0.8109999999999999,-7773.5,186.5530360256691,0.375,0.4019999999999997,-0.7999999999999998,1109.3
164,201809,1.0,99.0,101.08,0.16,0.863,0.815,-10271.0,187.45232578611922,0.625,0.746,-0.39999999999999947,1139.6
165,201810,1.0,95.0,87.38,0.14,0.846,0.8220000000000001,-6580.300000000003,188.8724069457941,0.625,0.806,-0.20000000000000018,1121.2
166,201811,1.0,94.0,93.82,0.11,0.851,0.8190000000000001,-5454.299999999996,188.50397401631696,0.375,0.7789999999999999,-0.10000000000000009,1115.7
167,201812,1.0,94.3,92.51,0.04,0.848,0.812,-5135.5999999999985,186.89181108465755,0.625,0.6920000000000002,0.19999999999999973,1112.7
168,201901,1.0,91.9,97.39,0.04,0.826,0.818,-1187.5,188.08147644864738,0.625,0.6379999999999999,0.10000000000000009,1124.7
169,201902,1.0,97.1,96.02,0.09,0.8320000000000001,0.805,-3325.7999999999993,190.22879620050134,0.625,0.7269999999999999,0.0,1135.1
170,201903,1.0,96.3,95.9,0.12,0.836,0.7829999999999999,-6385.0999999999985,189.6150420312232,0.625,0.45199999999999974,-0.10000000000000009,1168.2
171,201904,1.0,97.3,101.71,0.08,0.838,0.7909999999999999,-5244.700000000004,188.77156534226904,0.625,0.6129999999999998,-0.49999999999999956,1190.9
172,201905,1.0,93.9,94.94,0.11,0.823,0.821,-1824.9000000000015,190.2722538593482,0.625,0.29699999999999993,-0.19999999999999973,1154.7
173,201906,1.0,94.6,95.01,0.07,0.833,0.81,-4184.5999999999985,190.97191003610502,0.625,0.3869999999999998,-0.2999999999999998,1183.1
174,201907,1.0,91.7,89.57,0.08,0.831,0.8,-3274.5999999999985,189.50222081218277,0.875,0.5079999999999998,-0.2999999999999998,1211.2
175,201908,1.0,91.0,83.5,0.06,0.8420000000000001,0.815,-2460.0,191.25041453803343,0.625,0.242,0.20000000000000018,1196.2
176,201909,1.0,93.7,95.32,0.07,0.8490000000000001,0.809,-6527.700000000004,190.43186670937092,0.375,0.2450000000000001,0.0,1163.4
177,201910,1.0,93.0,92.99,0.04,0.838,0.8059999999999999,-5747.299999999996,190.04196609361972,0.375,0.1140000000000001,0.10000000000000009,1181.2
178,201911,1.0,93.9,104.01,0.03,0.833,0.809,-3753.699999999997,191.18963393056086,0.375,0.026000000000000023,-0.10000000000000009,1156.4
179,201912,1.0,94.7,105.59,0.06,0.8370000000000001,0.802,-3229.4000000000015,189.04198540145987,0.375,0.2649999999999999,0.10000000000000009,1191.8
180,202001,1.0,97.2,102.02,0.09,0.8420000000000001,0.828,-921.4000000000015,189.80542439810094,0.375,-0.14900000000000002,0.0,1213.7
181,202002,1.0,89.6,82.04,0.09,0.8420000000000001,0.8009999999999999,-4822.300000000003,193.59806400863332,0.375,-0.391,0.10000000000000009,1217.4
182,202003,1.0,68.6,71.21,0.03,0.833,0.7809999999999999,-5842.0999999999985,186.07848487680278,-0.625,-0.8150000000000001,0.5000000000000004,1218.2
183,202004,1.0,61.4,80.4,0.01,0.828,0.78,-457.5,176.13077782391784,-0.625,-0.877,10.799999999999999,1238.5
184,202005,1.0,63.4,90.36,-0.04,0.8420000000000001,0.764,-2862.9000000000015,172.6019479239972,-0.375,-0.7409999999999999,8.899999999999999,1203.0
185,202006,1.0,68.1,98.84,0.01,0.841,0.763,-5676.0,170.34448674243473,-0.375,-0.7359999999999999,6.8,1191.3
